CD_GEOCMU;NM_MUNICIP;BIOMA
1702307;ARAPOEMA;Amazônia
3103702;ARAPONGA;Mata Atlântica
4101507;ARAPONGAS;Mata Atlântica
3103751;ARAPORÃ;Cerrado
3103751;ARAPORÃ;Mata Atlântica
4101606;ARAPOTI;Cerrado
4101606;ARAPOTI;Mata Atlântica
3103801;ARAPUÁ;Cerrado
4101655;ARAPUÃ;Mata Atlântica
5101258;ARAPUTANGA;Amazônia
5101258;ARAPUTANGA;Cerrado
4201307;ARAQUARI;Mata Atlântica
2500908;ARARA;Caatinga
4201406;ARARANGUÁ;Mata Atlântica
3503208;ARARAQUARA;Cerrado
3503208;ARARAQUARA;Mata Atlântica
3503307;ARARAS;Cerrado
3503307;ARARAS;Mata Atlântica
2301257;ARARENDÁ;Caatinga
2101004;ARARI;Amazônia
2101004;ARARI;Cerrado
4300877;ARARICÁ;Mata Atlântica
2301307;ARARIPE;Caatinga
2601102;ARARIPINA;Caatinga
3300209;ARARUAMA;Mata Atlântica
4101705;ARARUNA;Mata Atlântica
2501005;ARARUNA;Caatinga
2902252;ARATACA;Mata Atlântica
4300901;ARATIBA;Mata Atlântica
2301406;ARATUBA;Caatinga
2902302;ARATUÍPE;Mata Atlântica
2800407;ARAUÁ;Mata Atlântica
4101804;ARAUCÁRIA;Mata Atlântica
3103900;ARAÚJOS;Cerrado
3104007;ARAXÁ;Cerrado
3104106;ARCEBURGO;Mata Atlântica
3503356;ARCO-ÍRIS;Mata Atlântica
3104205;ARCOS;Cerrado
3104205;ARCOS;Mata Atlântica
2601201;ARCOVERDE;Caatinga
3104304;AREADO;Mata Atlântica
3300225;AREAL;Mata Atlântica
3503406;AREALVA;Cerrado
3503406;AREALVA;Mata Atlântica
2501104;AREIA;Caatinga
2800506;AREIA BRANCA;Mata Atlântica
2401107;AREIA BRANCA;Caatinga
2501153;AREIA DE BARAÚNAS;Caatinga
2501203;AREIAL;Caatinga
3503505;AREIAS;Mata Atlântica
3503604;AREIÓPOLIS;Cerrado
3503604;AREIÓPOLIS;Mata Atlântica
5101308;ARENÁPOLIS;Amazônia
5202353;ARENÓPOLIS;Cerrado
2401206;ARÊS;Mata Atlântica
3104403;ARGIRITA;Mata Atlântica
3104452;ARICANDUVA;Cerrado
3104452;ARICANDUVA;Mata Atlântica
3104502;ARINOS;Cerrado
5101407;ARIPUANÃ;Amazônia
1100023;ARIQUEMES;Amazônia
3503703;ARIRANHA;Mata Atlântica
4101853;ARIRANHA DO IVAÍ;Mata Atlântica
3300233;ARMAÇÃO DOS BÚZIOS;Mata Atlântica
3300233;ARMAÇÃO DOS BÚZIOS;Mata Atlântica
3300233;ARMAÇÃO DOS BÚZIOS;Mata Atlântica
3300233;ARMAÇÃO DOS BÚZIOS;Mata Atlântica
3300233;ARMAÇÃO DOS BÚZIOS;Mata Atlântica
3300233;ARMAÇÃO DOS BÚZIOS;Mata Atlântica
3300233;ARMAÇÃO DOS BÚZIOS;Mata Atlântica
4201505;ARMAZÉM;Mata Atlântica
2301505;ARNEIROZ;Caatinga
2200905;AROAZES;Cerrado
2501302;AROEIRAS;Caatinga
2200954;AROEIRAS DO ITAIM;Caatinga
2201002;ARRAIAL;Caatinga
2201002;ARRAIAL;Cerrado
3300258;ARRAIAL DO CABO;Mata Atlântica
3300258;ARRAIAL DO CABO;Mata Atlântica
3300258;ARRAIAL DO CABO;Mata Atlântica
3300258;ARRAIAL DO CABO;Mata Atlântica
1702406;ARRAIAS;Cerrado
4301008;ARROIO DO MEIO;Mata Atlântica
4301073;ARROIO DO PADRE;Pampa
4301057;ARROIO DO SAL;Mata Atlântica
4301206;ARROIO DO TIGRE;Mata Atlântica
4301107;ARROIO DOS RATOS;Pampa
4301305;ARROIO GRANDE;Pampa
4201604;ARROIO TRINTA;Mata Atlântica
3503802;ARTUR NOGUEIRA;Mata Atlântica
5202502;ARUANÃ;Cerrado
3503901;ARUJÁ;Mata Atlântica
4201653;ARVOREDO;Mata Atlântica
4301404;ARVOREZINHA;Mata Atlântica
4201703;ASCURRA;Mata Atlântica
3503950;ASPÁSIA;Mata Atlântica
4101903;ASSAÍ;Mata Atlântica
2301604;ASSARÉ;Caatinga
3504008;ASSIS;Cerrado
3504008;ASSIS;Mata Atlântica
1200054;ASSIS BRASIL;Amazônia
4102000;ASSIS CHATEAUBRIAND;Mata Atlântica
2501351;ASSUNÇÃO;Caatinga
2201051;ASSUNÇÃO DO PIAUÍ;Caatinga
3104601;ASTOLFO DUTRA;Mata Atlântica
4102109;ASTORGA;Mata Atlântica
2700409;ATALAIA;Mata Atlântica
4102208;ATALAIA;Mata Atlântica
1300201;ATALAIA DO NORTE;Amazônia
4201802;ATALANTA;Mata Atlântica
3104700;ATALÉIA;Mata Atlântica
3504107;ATIBAIA;Mata Atlântica
3200706;ATÍLIO VIVACQUA;Mata Atlântica
1702554;AUGUSTINÓPOLIS;Amazônia
1702554;AUGUSTINÓPOLIS;Cerrado
1500909;AUGUSTO CORRÊA;Amazônia
1500909;AUGUSTO CORRÊA;Amazônia
1500909;AUGUSTO CORRÊA;Amazônia
1500909;AUGUSTO CORRÊA;Amazônia
1500909;AUGUSTO CORRÊA;Amazônia
1500909;AUGUSTO CORRÊA;Amazônia
1500909;AUGUSTO CORRÊA;Amazônia
1500909;AUGUSTO CORRÊA;Amazônia
1500909;AUGUSTO CORRÊA;Amazônia
1500909;AUGUSTO CORRÊA;Amazônia
1500909;AUGUSTO CORRÊA;Amazônia
1500909;AUGUSTO CORRÊA;Amazônia
3104809;AUGUSTO DE LIMA;Cerrado
4301503;AUGUSTO PESTANA;Mata Atlântica
4301503;AUGUSTO PESTANA;Pampa
2401305;AUGUSTO SEVERO;Caatinga
4301552;ÁUREA;Mata Atlântica
2902401;AURELINO LEAL;Mata Atlântica
